foo,Varenavn,Volum,Pris,Literpris,Varetype,Fylde,Friskhet,Garvestoffer,Bitterhet,Sodme,Land,Distrikt,Underdistrikt,Alkohol,Sukker,Produsent,Emballasjetype,Vareurl,
,Carlow O´Haras Irish Pale Ale,0.5,49,98,Øl,7,0,0,8,6,Irland,Øvrige,,5.2,Ukjent,Carlow Brewing Company,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9292402,
,Dom. de Pellehaut Harmonie de Gascogne 2012,0.75,129.9,173.2,Rødvin,8,9,7,0,0,Frankrike,Sørvest,Côtes de Gascogne,12.5,3.1,Dom. de Pellehaut,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9292501,
,Te Mata Elston Chardonnay 2010,0.75,249.7,332.9,Hvitvin,10,8,0,0,2,New Zealand,Hawke's Bay,,14,1,Te Mata Estate,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9292601,
,Te Mata Woodthorpe Chardonnay 2009,0.75,174.9,233.2,Hvitvin,8,9,0,0,2,New Zealand,Hawke's Bay,,13.5,2.1,Te Mata Estate,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9292701,
,Te Mata Woodthorpe Gamay Noir 2010,0.75,174.9,233.2,Rødvin,5,9,5,0,0,New Zealand,Hawke's Bay,,12.5,1,Te Mata Estate,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9292801,
,Te Mata Woodthorpe Syrah 2011,0.75,174.9,233.2,Rødvin,7,8,7,0,0,New Zealand,Hawke's Bay,,13.5,1,Te Mata Estate,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9292901,
,Geir Skeie Selectio Sauvignon Blanc 2012,0.75,174.9,233.2,Hvitvin,7,8,0,0,1,New Zealand,Hawke's Bay,,13,3.5,Te Mata Estate,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9293001,
,Te Mata Cape Crest Sauvignon Blanc 2010,0.75,223,297.3,Hvitvin,8,10,0,0,2,New Zealand,Hawke's Bay,,13.5,3.4,Te Mata Estate,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9293101,
,De Wetshof Nature in Concert 2009,0.75,325,433.3,Rødvin,8,9,5,0,0,Sør-Afrika,Breede River Valley,Robertson,14,3.5,De Wetshof Est.,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9293701,
,Le Réviseur V.S.,0.7,450,642.9,Druebrennevin,0,0,0,0,0,Frankrike,Cognac Tradisjonell,Petite Champagne,40,11,Le Réviseur,Engangsflasker av glass,http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-9295101,
