productId;producerId;
427401;creativewhiskycompanyltd;
427501;adelphidist;
427701;bariccicolombaiodimontosoli;
427801;bariccicolombaiodimontosoli;
428502;thebittertruthgmbh;
428601;birradelborgo;
428602;birradelborgo;
428901;delicatofamilyvineyards;
429001;dekuyper;
429101;dekuyper;
430101;mchapoutier;
430201;mchapoutier;
430301;mchapoutier;
431201;bisoldesideriofigli;
431301;socagrcolleverde;
431501;avignonesi;
431701;erictexier;
431801;azulygaranza;
432201;weingpfeffingen;
432301;weinghirschhof;
432401;weinghirschhof;
432601;domfouassier;
432701;weinghirschhof;
432801;weingpfeffingen;
432906;fairview;
