productId;packagingId;
189701;engangsflaskeravglass;
189802;engangsflaskeravglass;
190102;engangsflaskeravglass;
190201;engangsflaskeravglass;
190301;engangsflaskeravglass;
190401;engangsflaskeravglass;
190505;engangsflaskeravglass;
190601;engangsflaskeravglass;
190701;engangsflaskeravglass;
190901;engangsflaskeravglass;
191101;engangsflaskeravglass;
191201;engangsflaskeravglass;
191305;engangsflaskeravglass;
191401;engangsflaskeravglass;
191501;engangsflaskeravglass;
191701;engangsflaskeravglass;
192001;engangsflaskeravglass;
192305;engangsflaskeravglass;
192601;engangsflaskeravglass;
192701;engangsflaskeravglass;
192801;engangsflaskeravglass;
192901;engangsflaskeravglass;
193001;engangsflaskeravglass;
193101;engangsflaskeravglass;
193201;engangsflaskeravglass;
193402;engangsflaskeravglass;
193501;engangsflaskeravglass;
193708;flerforpakningavglass;
193901;engangsflaskeravglass;
194101;engangsflaskeravglass;
194202;engangsflaskeravglass;
194301;engangsflaskeravglass;
194405;engangsflaskeravglass;
194601;engangsflaskeravglass;
194802;engangsflaskeravglass;
194902;engangsflaskeravglass;
195102;engangsflaskeravglass;
195202;engangsflaskeravglass;
195301;engangsflaskeravglass;
195401;engangsflaskeravglass;
195501;engangsflaskeravglass;
195602;engangsflaskeravglass;
195702;engangsflaskeravglass;
195802;engangsflaskeravglass;
195901;engangsflaskeravglass;
196001;engangsflaskeravglass;
196101;engangsflaskeravglass;
196201;engangsflaskeravglass;
196301;engangsflaskeravglass;
196401;engangsflaskeravglass;
196501;engangsflaskeravglass;
196701;engangsflaskeravglass;
196801;engangsflaskeravglass;
196901;engangsflaskeravglass;
197001;engangsflaskeravglass;
197101;engangsflaskeravglass;
197201;engangsflaskeravglass;
197301;engangsflaskeravglass;
197401;engangsflaskeravglass;
198002;engangsflaskeravglass;
199402;engangsflaskeravglass;
199501;engangsflaskeravglass;
201001;engangsflaskeravglass;
201102;engangsflaskeravglass;
201201;engangsflaskeravglass;
201302;engangsflaskeravglass;
201401;engangsflaskeravglass;
201501;engangsflaskeravglass;
201802;engangsflaskeravglass;
201902;engangsflaskeravglass;
202002;engangsflaskeravglass;
202102;engangsflaskeravglass;
202202;engangsflaskeravglass;
202302;engangsflaskeravglass;
202401;engangsflaskeravglass;
202701;engangsflaskeravglass;
204302;engangsflaskeravglass;
