productId;name;pricePerLiter;url;
87901;Bollinger Spécial Cuvée, Brut;532.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-87901;
87902;Bollinger Spécial Cuvée, Brut;623.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-87902;
87905;Bollinger Spécial Cuvée, Brut;605.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-87905;
87907;Bollinger Spécial Cuvée, Brut;605.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-87907;
88101;Veuve Clicquot, Brut;533.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-88101;
88102;Veuve Clicquot, Brut;631.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-88102;
88105;Veuve Clicquot Brut;589.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-88105;
88107;Veuve Clicquot, Brut;933.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-88107;
88201;Veuve Clicquot, Sec;533.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-88201;
88202;Veuve Clicquot, Sec;631.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-88202;
88801;Trimbach Riesling 2012;206.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-88801;
88802;Trimbach Riesling 2012;245.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-88802;
89101;Lanson Black Label, Brut;493.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-89101;
89102;Lanson Black Label, Brut;586.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-89102;
89105;Lanson Black Label, Brut;519.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-89105;
89501;Moët & Chandon Impérial Brut;519.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-89501;
89502;Moët & Chandon Impérial Brut;586.40;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-89502;
89504;Moët & Chandon Impérial Brut;619.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-89504;
89505;Moët & Chandon Impérial Brut;566.60;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-89505;
89507;Moët & Chandon Impérial Brut;1000.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-89507;
90006;Promenade Blanc;106.60;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-90006;
90101;Bouvet Rosé Excellence;180.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-90101;
90201;Laurent-Perrier Rosé;666.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-90201;
90601;Castellblanc Carat Seco;143.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-90601;
90602;Castellblanc Carat Seco;172.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-90602;
90801;Contessa Matilde Lambrusco di Sorbara;146.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-90801;
91001;Söhnlein Brilliant Medium Dry 2010;133.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-91001;
91501;Martini Asti;167.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-91501;
91502;Martini Asti;197.10;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-91502;
91505;Martini Asti;166.60;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-91505;
91507;Martini Asti;177.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-91507;
91801;Henri Delacôte Carte Bleue;186.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-91801;
92901;Codorníu Clasico, Seco;146.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-92901;
92902;Codorníu Clasico, Seco;159.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-92902;
92904;Codorníu Clasico, Seco;199.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-92904;
93201;Henkell Trocken;145.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-93201;
93202;Henkell Trocken;173.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-93202;
93204;Henkell Trocken;225.00;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-93204;
94101;Raimat Chardonnay, Brut;186.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-94101;
94401;Freixenet Cordon Negro, Seco;146.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-94401;
94402;Freixenet Cordon Negro, Seco;175.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-94402;
94404;Freixenet Cordon Negro, Seco;224.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-94404;
94405;Freixenet Cordon Negro, Seco;156.60;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-94405;
94601;Freixenet Cordon Negro Brut;146.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-94601;
94602;Freixenet Cordon Negro, Brut;175.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-94602;
94605;Freixenet Cordon Negro, Brut;156.60;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-94605;
94607;Freixenet Cordon Negro, Brut;226.30;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-94607;
98601;Delapierre, Seco;129.20;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-98601;
101301;Guerrini Forteguerra Chianti Riserva 2009;279.90;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-101301;
101501;Guerrini Forteguerra Chianti 2009;226.50;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-101501;
101701;Maiano Aggeggio Sangiovese 2011;166.70;http://www.vinmonopolet.no/vareutvalg/varedetaljer/sku-101701;
